DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
2001-2-1,0.027014771,-0.2308,0.037866215,0.037322275,0.025393299,-0.1738,0.022542518,0.035335689,1,0,0,1
2001-3-1,0.025393299,-0.1738,0.022542518,0.035335689,0.021091891,-0.0904,0.002013409,0.029205607,1,0,0,1
2001-4-1,0.021091891,-0.0904,0.002013409,0.029205607,0.023735358,-0.0612,0.036333904,0.032691185,1,0,0,1
2001-5-1,0.023735358,-0.0612,0.036333904,0.032691185,0.025567488,-0.0528,0.036624547,0.036151603,1,0,0,1
2001-6-1,0.025567488,-0.0528,0.036624547,0.036151603,0.023917251,-0.0596,0.023621857,0.032482599,1,0,0,1
2001-7-1,0.023917251,-0.0596,0.023621857,0.032482599,0.021019255,-0.1262,0.023550021,0.027199074,1,0,0,1
2001-8-1,0.021019255,-0.1262,0.023550021,0.027199074,0.020956667,-0.234,0.02820952,0.027199074,1,0,0,1
2001-9-1,0.020956667,-0.234,0.02820952,0.027199074,0.013138965,-0.2981,-0.007909878,0.026482441,0,0,0,1
2001-10-1,0.013138965,-0.2981,-0.007909878,0.026482441,0.015320653,-0.1545,0.066785818,0.021264368,0,0,1,1
2001-11-1,0.015320653,-0.1545,0.066785818,0.021264368,0.013217034,0.055,0.040678142,0.018954624,0,1,0,0
2001-12-1,0.013217034,0.055,0.040678142,0.018954624,0.010623328,0.1993,0.023502142,0.015517241,0,1,0,0
2002-1-1,0.010623328,0.1993,0.023502142,0.015517241,0.0066612,0.1886,0.014458508,0.011422045,0,1,0,0
2002-2-1,0.0066612,0.1886,0.014458508,0.011422045,0.006776843,0.1624,0.01965145,0.011376564,0,1,0,0
2002-3-1,0.006776843,0.1624,0.01965145,0.011376564,0.009433843,0.1518,0.026888722,0.014755959,0,1,0,0
2002-4-1,0.009433843,0.1518,0.026888722,0.014755959,0.011881711,0.0617,0.025788674,0.016393443,0,1,0,0
2002-5-1,0.011881711,0.0617,0.025788674,0.016393443,0.009881745,-0.0003,0.009227406,0.01181767,0,0,0,0
